experiment,dataset,method,MSETest_mean,MSETest_std,RMSETest_mean,RMSETest_std,EnergyScoreTest_mean,EnergyScoreTest_std,CRPSTest_mean,CRPSTest_std,Gaussian NLLTest_mean,Gaussian NLLTest_std,C95Test_mean,C95Test_std,C90Test_mean,C90Test_std,C75Test_mean,C75Test_std,C50Test_mean,C50Test_std,MSEValidation_mean,MSEValidation_std,RMSEValidation_mean,RMSEValidation_std,EnergyScoreValidation_mean,EnergyScoreValidation_std,CRPSValidation_mean,CRPSValidation_std,Gaussian NLLValidation_mean,Gaussian NLLValidation_std,C95Validation_mean,C95Validation_std,C90Validation_mean,C90Validation_std,C75Validation_mean,C75Validation_std,C50Validation_mean,C50Validation_std,NumberParameters_mean,NumberParameters_std,n_runs
UCI,concrete,deterministic,23.49725017,5.117503675077974,4.82252648,0.5031358782726294,2.60069629,0.2957206576762051,2.591387305,0.29567439754738656,10.352406365,5.9888771938770935,0.573300975,0.054782997742546614,0.5077669950000001,0.05234005009428326,0.37524272000000003,0.06867103344639114,0.23106795500000002,0.048143474414705956,,,,,,,,,,,,,,,,,,,418945.0,0.0,20
UCI,concrete,mixednormal,22.740645655,5.1243838274572235,4.741910925,0.5180189614414301,2.43536845,0.3153034877552861,2.42532303,0.3155288653283247,7.904204165,4.0840203451483665,0.6830097150000001,0.05920486354358039,0.614077685,0.06553635065454957,0.480097095,0.06013604158223669,0.30873785,0.06088417959929716,,,,,,,,,,,,,,,,,,,519563.0,0.0,20
UCI,concrete,normal,23.21542106,5.592471659171939,4.786151695,0.5695548124566837,2.48051812,0.30382161239640476,2.470271295,0.30327818377945465,9.629506254999999,6.524847960445098,0.683495155,0.04676347528907662,0.619902935,0.05512603588205632,0.47961165,0.05043824509100736,0.29805825,0.03715050199905217,,,,,,,,,,,,,,,,,,,419203.0,0.0,20
UCI,concrete,sample,23.54490889,5.228437436547439,4.8253282650000004,0.5242699310667281,2.504000795,0.2957331468554743,2.49216373,0.29552941550436684,5.002230385,1.8713624125412431,0.7286408,0.04634520413947354,0.664077695,0.05083014789269386,0.517961165,0.056195589718807115,0.32864076999999997,0.05767686688399249,,,,,,,,,,,,,,,,,,,419073.0,0.0,20
UCI,energy,deterministic,0.208773785,0.052300739228158796,0.45345459000000005,0.05760759370802011,0.290058045,0.030952301219056986,0.28963295499999997,0.03101477144518951,63.5899182,85.1659148342053,0.283766235,0.11679004771784769,0.242207805,0.10210998240744595,0.16623377,0.07232089058735017,0.103246765,0.05452834946540508,,,,,,,,,,,,,,,,,,,419713.0,0.0,20
UCI,energy,mixednormal,0.201128295,0.05541377720420566,0.444513785,0.061007289461197954,0.24239407000000002,0.026669256882728233,0.24118499,0.026639340391290706,1.6162868499999998,1.2768772857486133,0.7207792150000001,0.06256792439016957,0.640259735,0.06808489733789622,0.4883117,0.05964806900386193,0.29805195,0.04904300239779372,,,,,,,,,,,,,,,,,,,520331.0,0.0,20
UCI,energy,normal,0.20910414500000002,0.05808795351694545,0.45316668,0.06277875287760978,0.245663675,0.028629264105417787,0.244400385,0.028635422978951216,1.601909495,1.198204410402557,0.72532467,0.06036920037728461,0.64090909,0.07116711283730563,0.48571428999999994,0.06169641011130225,0.30194804999999997,0.061476599868246835,,,,,,,,,,,,,,,,,,,419971.0,0.0,20
UCI,energy,sample,0.211267335,0.052801475824712105,0.456294305,0.05678063987912258,0.24832026,0.02559109528766845,0.247090785,0.025586787784534725,1.626685025,1.2670562239442344,0.72142855,0.07018743796160543,0.6435065,0.06787271877409486,0.487013,0.07763676214599423,0.311688315,0.05445098419993292,,,,,,,,,,,,,,,,,,,419841.0,0.0,20
UCI,kin8nm,deterministic,0.004779139999999999,0.0002613621814546565,0.069106945,0.0018830543770204258,0.039588135,0.0010902968027946376,0.039344135,0.001091999596720092,-0.99057025,0.08528813715965242,0.769536045,0.02105119746238919,0.6943834050000001,0.024891328902450625,0.5304029650000001,0.02573847257685978,0.328449335,0.019866605883459582,,,,,,,,,,,,,,,,,,,418945.0,0.0,20
UCI,kin8nm,mixednormal,0.004750025,0.00026007154253559166,0.06889603,0.0018806756249872122,0.038493299999999994,0.0010187895015267175,0.03819402,0.001017830225011702,-1.21751393,0.04271495448377103,0.8580586350000001,0.012375188896858158,0.79542125,0.015788615677043025,0.6321734099999999,0.017070502553262673,0.4023199,0.016436425470982355,,,,,,,,,,,,,,,,,,,519563.0,0.0,20
